ENT,MUN,LOC50K,ID_VIV,COBERTURA,ESTRATO,UPM,FACTOR,CLAVIVP,ID_MII,MPER,MCONRES,MSEXO,MEDAD,MFECEMIM,MFECEMIA,MCAUSAEMIG_V,MLUGORI_C,MPAIDES_C,MPAIRES,MFECRETM,MFECRETA,MCAUSARETO_V,MCONRESACT,MPERLS,TAMLOC
32,002,0000,320020001012,1,32-002-0000-03,00118,1,01,32002000101201,01,1,1,38,07,2019,0101,032,221,3,11,2019,0301,1,01,1
32,002,0000,320020001034,1,32-002-0000-03,00122,1,01,32002000103401,01,1,1,47,07,2016,0101,032,221,1,,,,,,1
32,002,0000,320020001037,1,32-002-0000-03,00122,1,01,32002000103701,01,1,1,22,01,2018,0101,032,221,3,07,2018,0809,1,01,1
32,002,0000,320020001044,1,32-002-0000-03,00123,1,01,32002000104401,01,1,1,35,03,2019,0102,032,221,3,09,2019,0103,1,01,1
32,002,0000,320020001058,1,32-002-0000-03,00126,1,01,32002000105801,01,1,1,33,08,2017,0101,032,221,1,,,,,,1
32,002,0000,320020001064,1,32-002-0000-03,00126,1,01,32002000106401,01,1,1,46,04,2016,0101,032,221,3,11,2016,0301,1,01,1
32,002,0000,320020001070,1,32-002-0000-03,00128,1,01,32002000107001,01,1,1,32,07,2016,0101,032,221,1,,,,,,1
32,002,0000,320020001071,1,32-002-0000-03,00128,1,01,32002000107101,01,1,3,64,01,2020,0301,032,221,1,,,,,,1
32,002,0000,320020001073,1,32-002-0000-03,00128,1,01,32002000107301,01,1,1,45,07,2018,0101,032,221,1,,,,,,1
32,002,0000,320020001075,1,32-002-0000-03,00128,1,01,32002000107501,01,1,1,47,03,2018,0101,032,221,3,11,2019,0103,1,01,1
32,002,0000,320020001076,1,32-002-0000-03,00128,1,01,32002000107601,01,1,1,45,05,2019,0102,032,221,3,11,2019,0301,1,01,1
32,002,0000,320020001078,1,32-002-0000-03,00129,1,01,32002000107801,01,1,3,25,08,2018,0304,032,221,3,12,2018,0301,1,04,1
32,002,0000,320020001078,1,32-002-0000-03,00129,1,01,32002000107802,02,1,3,3,08,2018,0301,032,221,3,12,2018,0301,1,99,1
32,002,0000,320020001081,1,32-002-0000-03,00130,1,01,32002000108101,01,1,1,73,02,2020,0301,032,221,1,,,,,,1
32,002,0000,320020001081,1,32-002-0000-03,00130,1,01,32002000108102,02,1,3,67,02,2020,0301,032,221,1,,,,,,1
32,002,0000,320020001086,1,32-002-0000-03,00130,1,01,32002000108601,01,1,1,46,11,2016,0101,032,221,3,01,2019,0301,1,01,1
